name,lat,lot,
가리산,37.87251567,127.9570024,
가리왕산,37.46311953,128.563349,
가야산,35.82300351,128.1179362,
가지산 ,35.62191254,129.0029701,
감악산,37.94255014,126.9690884,
강천산 ,35.40486577,127.0489319,
계룡산,36.34329419,127.2059191,
계방산,37.72911878,128.4654287,
공작산,37.71617355,128.0099733,
관악산,37.44389171,126.9609595,
구병산,36.4703169,127.8618517,
금산,34.7569931,127.9775356,
금수산,36.98465195,128.2562817,
금오산,36.08945797,128.3053,
금정산 ,35.28412707,129.0558601,
깃대봉,34.69566959,125.2018152,
남산(금오산),36.08918053,128.3053429,
내연산 ,36.27957019,129.2834746,
내장산,35.48081967,126.8879357,
대둔산,36.12095015,127.3230089,
대암산,38.21194046,128.1350874,
대야산,36.67133405,127.9320567,
덕숭산(수덕산),36.67343487,126.6190364,
덕유산,35.96449299,127.750477,
덕항산,37.40490084,129.0139047,
도락산,36.95410764,128.2943002,
도봉산,37.76620035,127.0253794,
두륜산,34.55615627,126.6463511,
두타산,37.32194725,129.1127816,
마니산,37.7271081,126.4485972,
마이산,35.84435808,127.3934214,
명성산,38.1643818,127.3398175,
명지산,38.02171713,127.455174,
모악산,35.79065622,127.1091046,
무등산,35.23172984,127.0267072,
무학산,35.31693721,128.5757793,
미륵산 ,34.81120669,128.4165386,
민주지산,36.10638971,127.8287091,
방장산,35.48260989,126.785008,
방태산,37.95677753,128.3945049,
백덕산,37.51215982,128.2872516,
백암산,35.58391547,126.8889204,
백운산(광양),35.10802867,127.6222873,
백운산(정선),37.30813165,128.6004774,
백운산(포천),38.09720405,127.439695,
변산,35.6816688,126.5314748,
북한산,37.67035947,126.9913042,
비슬산,35.71614708,128.5239341,
삼악산,37.84593426,127.6612129,
서대산,36.31666238,127.4996322,
선운산,35.50885867,126.5708106,
설악산,38.22241854,128.4829085,
성인봉,37.50400522,130.8662386,
소백산,37.01284932,128.4444563,
소요산,37.94894677,127.0902982,
속리산,36.58618951,127.928099,
신불산,35.54459774,129.0565615,
연화산,35.07451612,128.2654322,
오대산,37.81129116,128.5927718,
오봉산,38.00527081,127.8071583,
용문산,37.61139123,127.5435775,
용화산,38.12309409,127.7468246,
운문산,35.67687624,129.0340382,
운악산,37.87847641,127.324856,
운장산,35.98843997,127.3568099,
월악산,36.98213906,128.131346,
월출산,34.77536025,126.7105002,
유명산,37.66359102,127.4447006,
응봉산,37.10998821,129.2393861,
장안산,35.72157325,127.6321957,
재약산,35.62786452,128.950555,
적상산,36.01981225,127.7145932,
점봉산,38.05005696,128.4254303,
조계산,35.07679476,127.3520444,
주왕산,36.46285233,129.153802,
주흘산,36.81107485,128.0936214,
지리산,35.42221366,127.7200863,
지리산,34.84812397,128.1861728,
천관산,34.53301401,126.916272,
천마산,37.6812005,127.2728209,
천성산,35.48485883,129.0823909,
천태산,36.2061949,127.6321957,
청량산,36.79718383,128.9084747,
추월산,35.39977219,126.9757399,
축령산,37.75352332,127.3329977,
치악산,37.37192721,128.050467,
칠갑산,36.41350507,126.884288,
태백산,37.09590948,128.9152404,
태화산,37.11741826,128.4848021,
팔공산,36.01789292,128.6936555,
팔봉산,37.70291294,127.7537602,
팔영산,34.61830784,127.4342011,
한라산,33.36170163,126.5291237,
화악산,37.99495123,127.5030574,
화왕산,35.53732615,128.5606414,
황매산,35.49572761,127.9744873,
황석산,35.65681355,127.7572475,
황악산,36.11923546,127.966111,
황장산,36.81308954,128.276111,
희양산,36.71599583,128.0026572,
,,,
,,,
